system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,.geo
2_1_LC08_013030_20141120,163.79796,37.96,25.451115,0.981,0.9880979,41963.64795,1416497582880,0.9925549915397631,23464,4.665131059967107,3.6605131294758033,-4.096578847514884,0.8265381824300223,64.54888534545898,41963.75,1416506400000,0.3200000047683716,1.2154525366725677,7.259958598162369E-14,-9.38503766902194,
1_2_1_LE07_013030_20141128,163.13995,47.0,23.682423,0.981,0.9865431,41971.6466912037,1417188674120,0.6241962774957699,14756,2.1785710827354636,-1.9413440577989112,-16.11462746760575,3.194392847503717,66.31757736206055,41971.75,1417197600000,0.35999999046325687,1.2897333976169882,-6.625743622526075E-14,-4.436925602586,
1_2_1_LE07_013030_20150507,143.52887,0.0,59.352432,0.981,1.0090339,42131.6473994213,1431012735310,0.8872673434856176,20975,19.754053152833855,9.764550558441357,6.4035561623247235,1.6733279822425116,30.647567749023438,42131.75,1431021600000,1.3300000190734864,5.969841358300277,-5.59510435978816E-13,-2.0085688112454765,
1_2_1_LE07_013030_20150523,139.78596,0.0,62.641277,0.981,1.0124792,42147.64746875,1432395141300,0.8793570219966159,20788,18.698383875248673,10.172846210760126,5.810633222085258,0.9213028471061349,27.358722686767578,42147.75,1432404000000,0.9800000190734863,9.253784128929755,1.0038639016066188E-12,-4.73483068284965,
1_2_1_LE07_013030_20150624,133.98425,13.0,64.32255,0.981,1.0164187,42179.64756747685,1435159949830,0.8206006768189509,19399,26.406043873738653,18.067319709530697,13.276135084501346,0.8203837548747774,25.677452087402344,42179.75,1435168800000,1.8299999237060547,10.164418925482954,3.606258209335667E-12,-5.840174913947037,
2_1_LC08_013030_20150702,133.72997,38.16,63.768753,0.981,1.0166498,42187.64743414352,1435851138310,0.8478003384094754,20042,23.015579702275147,17.69767016165451,9.887307509832109,0.7651794348985719,26.231246948242188,42187.75,1435860000000,1.2800000190734864,6.949885606015471,-1.198673642481303E-13,-10.207230220265528,
1_2_1_LE07_013030_20150710,134.27905,21.0,62.96398,0.981,1.0166405,42195.64764814815,1436542356800,0.6423434856175972,15185,24.3935218958661,18.738139987976254,13.830403415931832,0.7522024732737634,27.03601837158203,42195.75,1436551200000,1.5399999618530273,7.518430354630828,-5.265362599154891E-12,-6.5244887466067345,
1_2_1_LE07_013030_20150827,146.96916,67.0,52.707,0.981,1.0103803,42243.64773668982,1440689564450,0.2854906937394247,6749,19.23107523754297,17.139390382026413,11.596683845170482,1.016825350412598,37.292999267578125,42243.75,1440698400000,2.35,2.0570738668816757,-4.053601632559814E-14,-5.450991691549452,
2_1_LC08_013030_20150904,149.70493,34.91,50.29234,0.981,1.0084878,42251.64772314815,1441380763280,0.29251269035532995,6915,18.227993879669217,16.77163740401175,14.252249922467703,0.6277689823756241,39.70766067504883,42251.75,1441389600000,1.3,2.3198923752911083,1.3900698333305414E-14,-4.013239825915095,
2_1_LC08_013030_20151022,161.84605,64.71,33.964413,0.981,0.9951999,42299.6478912037,1445527977800,0.6394670050761422,15117,8.649580936059008,6.9485785636234105,4.416757464860038,0.6747415506337782,56.035587310791016,42299.75,1445536800000,1.6799999237060548,2.5209687632810858,-1.200691769394443E-13,-3.7522827761018385,
1_2_1_LE07_013030_20151030,162.93169,32.0,31.3858,0.981,0.9930649,42307.64814664352,1446219199870,0.7425972927241963,17555,9.320814854851248,8.036834277497329,0.9384045203190816,1.1712910922329358,58.614200592041016,42307.75,1446228000000,0.43000001907348634,1.0962096321471662,1.4203765483964709E-12,-6.060346402571783,
2_1_LC08_013030_20151123,163.74684,1.18,24.829836,0.981,0.9874694,42331.647948611106,1448292782760,1.0,23640,6.7469648703464795,5.766003937548354,0.8975916036540575,0.9229545042782662,65.17016410827637,42331.75,1448301600000,0.1,1.0628486325717856,-9.474991968503787E-15,-5.27481290933328,
2_1_LC08_013030_20160517,141.12831,52.34,61.746155,0.981,1.0114498,42507.6475462963,1463499148000,0.38883248730964465,9192,12.92799687396265,7.2564322864110204,-3.753294774839566,1.7890042616943076,28.25384521484375,42507.75,1463508000000,1.1699999809265138,3.1702353700266066,-1.828538384380295E-14,-6.154108906830459,
1_2_1_LE07_013030_20160525,140.4399,12.0,63.393753,0.981,1.0129819,42515.64955243055,1464190521330,0.8122673434856176,19202,24.404963135742328,13.321683535108678,8.161511837827057,1.8630911609996754,26.606246948242188,42515.75,1464199200000,2.379999923706055,5.948865966755333,-4.2526400654115787E-13,-2.769682882566432,
1_2_1_LE07_013030_20160610,136.95256,39.0,64.77526,0.981,1.0153236,42531.64960729166,1465572926070,0.2715736040609137,6420,14.930203457787403,11.763056554644384,6.403285940683623,0.7803189787846871,25.22473907470703,42531.75,1465581600000,1.6299999237060547,4.058784919054144,1.947952463507521E-13,-6.8686918551031155,
2_1_LC08_013030_20160618,134.57008,1.38,64.500114,0.981,1.0160778,42539.64764930555,1466263956900,1.0,23640,28.053726800292754,18.923641761411773,17.33682928558795,0.9993466544903005,25.49988555908203,42539.75,1466272800000,0.9899999618530274,9.13605403876358,1.167943099670833E-13,-1.5878498904198057,
2_1_LC08_013030_20160704,134.01465,0.37,63.574863,0.981,1.0167509,42555.64775833333,1467646366320,1.0,23640,27.61034463456447,20.06748173540476,19.470433214155914,0.6891907003325688,26.42513656616211,42555.75,1467655200000,1.8899999618530274,10.944522170017537,2.686072311878213E-13,-0.8663037980064712,
2_1_LC08_013030_20160720,136.03629,10.8,61.431236,0.981,1.0160836,42571.64783032407,1469028772540,0.9954314720812183,23532,24.335444735349583,19.50004526470341,15.539639764836949,0.3172506674592958,28.568763732910156,42571.75,1469037600000,2.3700000762939455,15.241573829837787,3.9156554885024037E-14,-12.483521410950514,
2_1_LC08_013030_20160805,140.11159,6.34,58.271564,0.981,1.014357,42587.6478625,1470411175320,0.7614213197969543,18000,23.212668398212013,17.592787318846238,11.454539891796411,2.2342088231621173,31.728435516357422,42587.75,1470420000000,2.3700000762939455,2.5153786079010527,-4.850629048432094E-14,-2.747391991032535,
1_2_1_LE07_013030_20160829,148.94914,21.0,52.162724,0.981,1.0097582,42611.64970555555,1472484934560,0.7900592216582064,18677,25.40294273454663,19.94881403866898,11.597977594641002,0.8906978988973303,37.837276458740234,42611.75,1472493600000,1.6600000381469728,6.123432762814163,5.934857053387988E-13,-9.375610354943221,
1_2_1_LE07_013030_20160914,154.10805,73.0,47.036526,0.981,1.0057406,42627.64972569444,1473867336300,0.7703891708967852,18212,18.702140652255675,15.297129459979775,12.15871905819891,0.6204756892818901,42.96347427368164,42627.75,1473876000000,2.4700000762939456,5.487743115635526,-6.4304796543453895E-12,-5.058071502226165,
2_1_LC08_013030_20161024,162.2845,22.48,33.064236,0.981,0.9944494,42667.648087037036,1477323194720,0.9044416243654823,21381,11.694940356542704,10.759406863909307,-0.5893878254900099,1.1626443146765568,56.93576431274414,42667.75,1477332000000,0.6400000095367432,0.8046601018245709,-1.8927574209170078E-13,-9.761192263307551,
1_2_1_LE07_013030_20161101,163.73409,25.0,30.622875,0.981,0.9923516,42675.64968958333,1478014533180,0.4713197969543147,11142,8.163205864055522,4.977840421490678,0.9383918412073963,1.849724807166683,59.37712478637695,42675.75,1478023200000,1.2800000190734864,1.7220753218118043,1.7061516761472427E-13,-2.1838105671895645,
2_1_LC08_013030_20170504,144.08742,20.11,58.70405,0.981,1.0084302,42859.64735405093,1493911931390,0.9540186125211506,22553,12.65207667986199,5.2770858724854195,-11.194251587176524,2.2420712911014005,31.29595184326172,42859.75,1493920800000,0.6099999904632569,3.2893649888151693,-4.559986624649317E-14,-7.346482480300849,
2_1_LC08_013030_20170520,140.45102,0.01,62.23916,0.981,1.0120153,42875.64749178241,1495294343290,1.0,23640,19.459760081592396,11.87515683462166,10.525571587366281,0.9250622445285555,27.760841369628906,42875.75,1495303200000,0.43000001907348634,8.199019354460974,8.933077260967667E-15,-1.4589129058479462,
1_2_1_LE07_013030_20170613,136.47784,22.0,64.842834,0.981,1.0156151,42899.64965648148,1497368130320,0.34323181049069373,8114,23.89420665109648,15.046696281829075,12.718850946419408,1.204924112992031,25.15716552734375,42899.75,1497376800000,2.1899999618530273,7.342794682146027,1.5838797744152934E-13,-1.9319435226748276,
2_1_LC08_013030_20170621,134.26765,37.93,64.43098,0.981,1.0162964,42907.64766319444,1498059158100,0.872419627749577,20624,23.124504359613287,17.882668862042483,7.589836485504304,1.065631961891662,25.56902313232422,42907.75,1498068000000,2.0399999618530273,4.918992377317337,1.7667655444517987E-13,-9.658899830919864,
2_1_LC08_013030_20170723,136.58371,50.96,60.94443,0.981,1.0158982,42939.647773680554,1500823967646,0.9336294416243655,22071,23.761949725885472,19.323181270973336,16.334668738963384,0.5623345944398118,29.05556869506836,42939.75,1500832800000,1.6500000000000001,7.8934650274076805,9.917007658471687E-13,-5.314473912079086,
2_1_LC08_013030_20170824,146.22678,22.41,53.44886,0.981,1.010927,42971.64790393518,1503588778900,0.6387901861252115,15101,22.13736890968439,18.247272783261963,8.289273312765962,1.4193583108788743,36.55113983154297,42971.75,1503597600000,1.7799999237060549,2.740742838933785,7.394140186883512E-16,-7.015846100432493,
1_2_1_LE07_013030_20170901,149.82034,21.0,51.30168,0.981,1.0091146,42979.649658333336,1504280130480,0.3906514382402707,9235,20.277461093233818,15.48067435691058,6.9934625062370275,1.8614875973412823,38.69831848144531,42979.75,1504288800000,1.1399999618530274,2.576856672681769,1.0196954794488651E-12,-4.559370614553453,
